,trend,PESTLE Tag1,PESTLE Tag2,summary,source,links,source title,source date,source location,DC,SS,AC,AT,RL,SC,EF,IB,Total
0,U.S. Drug Price Reform Targets Global Pharma Giants,Political,Economic,"President Trump signed an executive order to reduce prescription drug prices in the U.S., warning pharmaceutical companies against price gouging and setting a 30-day deadline for proposed price reductions, with threats of further action within six months.",The Times,https://www.thetimes.co.uk/article/gsk-and-astrazeneca-take-hit-as-trump-vows-to-make-drugs-cheaper-sr2k8xzw5,GSK and AstraZeneca take hit as Trump vows to make drugs cheaper,2025-05-08,UK,5,4,4,2,5,4,4,4,32
1,Global Healthcare Spending Surges,Economic,Social,"U.S. health spending increased by 7.5% in 2023 to $4.9 trillion, driven by higher utilization of healthcare goods and a historically high insured share of 92.5%.",AMA,https://www.ama-assn.org/about/ama-research/trends-health-care-spending,Trends in Health Care Spending,2024-12-15,USA,4,4,4,2,2,4,4,3,27
2,Healthcare Industry Faces Sustainability Challenges,Environmental,Legal,"The healthcare industry faces sustainability challenges due to increased use of disposable medical products during the Covid-19 pandemic, especially PPE.",Financial Times,https://www.ft.com/content/f2974759-6330-4607-8c7d-7f045e48b82e,Healthcare's sustainability challenges,2024-11-20,Global,4,4,4,2,2,4,4,4,28
3,AI Revolutionizes Healthcare Delivery,Technological,Economic,"Healthcare is transforming with AI, personalized medicine, and digital health platforms improving diagnostics, treatments, and patient engagement.",Forbes,https://www.forbes.com/sites/bernardmarr/2023/10/03/the-10-biggest-trends-revolutionizing-healthcare-in-2024/,The 10 Biggest Trends Revolutionizing Healthcare In 2024,2023-10-03,Global,5,5,4,5,1,4,5,5,34
4,Global Health Systems Prioritize Operational Efficiency,Economic,Technological,More than 70% of C-suite health leaders are prioritizing operational efficiency and productivity to improve patient engagement and outcomes in 2025.,Deloitte,https://www2.deloitte.com/us/en/insights/industry/health-care/life-sciences-and-health-care-industry-outlooks/2025-global-health-care-executive-outlook.html,2025 Global Health Care Executive Outlook,2025-01-18,Global,5,4,4,3,1,4,4,4,29
5,Global Regulators Prioritize Climate Risk Assessment,Environmental,Legal,"Banking regulators are prioritizing assessment of climate-related financial risks, aligning with international strategies to mitigate environmental impacts.",Reuters,https://www.reuters.com/sustainability/cop/global-banking-regulators-agree-prioritise-climate-risk-work-2025-05-12/,Global banking regulators agree to prioritise climate risk work,2025-05-12,Global,2,4,4,2,4,2,2,4,24
6,Global Debt Reaches Record High,Economic,Political,"Global debt hit $324 trillion in Q1 2025, driven by spending in China, France, and Germany, raising concerns about economic resilience.",Reuters,https://www.reuters.com/world/china/global-debt-hits-record-over-324-trillion-says-iif-2025-05-06/,"Global debt hits record over $324 trillion, says IIF",2025-05-06,Global,1,1,2,1,1,1,2,3,12
7,New Zealand Central Bank Warns of Financial System Risks,Economic,Political,New Zealand's central bank warns of rising risks to the financial system due to global volatility and U.S. tariff impacts.,Reuters,https://www.reuters.com/world/asia-pacific/new-zealand-central-bank-warns-risks-financial-system-amid-global-volatility-2025-05-06/,New Zealand central bank warns of financial system risks amid global volatility,2025-05-06,New Zealand,2,2,3,2,2,1,2,4,18
8,Rise of 'Greenhushing' Among Corporations,Environmental,Social,Companies downplay ESG initiatives publicly amid political backlash while continuing sustainability practices internally—a trend called 'greenhushing'.,The Times,https://www.thetimes.co.uk/article/the-rise-of-greenhushing-embrace-esg-but-dont-talk-about-it-txv2lwpp2,The rise of greenhushing: Embrace ESG but don’t talk about it,2024-11-30,UK,2,3,2,2,2,2,2,4,19
9,Fintech Innovations Transform Financial Services,Technological,Economic,"Fintech continues reshaping finance through technology-driven services, expanding digital product access and disrupting traditional banking.",Investopedia,https://www.investopedia.com/the-future-of-fintech-4770491,The Future Of Fintech,2024-12-10,Global,2,5,4,5,2,2,4,5,29
10,AI Integration in Banking Enhances Client Services,Technological,Economic,"Generative AI is transforming banking through more personalized services, optimized operations, and innovative product development.",Forbes,https://www.forbes.com/sites/michaelabbott/2024/01/16/the-top-10-banking-trends-for-2024--the-age-of-ai/,The Top 10 Banking Trends For 2024 — The Age Of AI,2024-01-16,Global,2,4,4,5,2,2,4,4,27
11,Global Banks Nearing Peak Regulation,Legal,Political,"Global banks push back against post-crisis regulations, as memories of 2008 fade and competition from private finance increases.",Reuters,https://www.reuters.com/breakingviews/global-banks-are-nearing-peak-regulation-2024-11-01/,Global banks are nearing peak regulation,2024-11-01,Global,1,4,2,2,3,2,4,4,22
12,Digitalization Challenges Traditional Banking Models,Technological,Social,"Banking is shifting from relationship-driven to transactional, with digital experiences driving customers to multi-bank engagement.",Accenture,https://www.accenture.com/gr-en/insights/banking/consumer-study-banking-advocacy-powering-growth,Banking Consumer Study: Advocacy and Growth,2024-10-12,Global,1,2,3,4,2,2,4,4,22
13,Banking Industry Faces Cost Management Pressures,Economic,Operational,"European banks brace for cost growth outpacing revenues in 2024, prompting new efficiency initiatives.",Deloitte,https://www2.deloitte.com/us/en/insights/industry/financial-services/financial-services-industry-outlooks/banking-industry-outlook.html,Banking Industry Outlook 2024,2024-12-20,Europe,2,3,3,3,2,2,2,4,21
14,Global Banking Industry Achieves Record Profits,Economic,Strategic,"Banks globally reached $7 trillion in revenue and $1.1 trillion net income in 2024, with strong returns and capital positions.",McKinsey & Company,https://www.mckinsey.com/industries/financial-services/our-insights/global-banking-annual-review,Global Banking Annual Review,2024-12-01,Global,1,4,2,2,1,1,1,2,14
